Nombre,Tipo
AISÉN,C
AYSÉN,C
ALGARROBO,C
ALHUÉ,C
ALTO BIOBÍO,C
ALTO DEL CARMEN,C
ALTO HOSPICIO,C
ANCUD,C
ANDACOLLO,C
ANGOL,C
ANTOFAGASTA,C
ANTUCO,C
ARAUCO,C
ARICA,C
BUIN,C
BULNES,C
CABILDO,C
CABO DE HORNOS,C
CABRERO,C
CALAMA,C
CALBUCO,C
CALDERA,C
CALERA,C
CALERA DE TANGO,C
CALLE LARGA,C
CAMARONES,C
CAMIÑA,C
CANELA,C
CAÑETE,C
CARAHUE,C
CARTAGENA,C
CASABLANCA,C
CASTRO,C
CATEMU,C
CAUQUENES,C
CERRILLOS,C
CERRO NAVIA,C
CHAITÉN,C
CHANCO,C
CHAÑARAL,C
CHÉPICA,C
CHIGUAYANTE,C
CHILE CHICO,C
CHILLÁN,C
CHILLÁN VIEJO,C
CHIMBARONGO,C
CHOLCHOL,C
CHONCHI,C
CISNES,C
COBQUECURA,C
COCHAMÓ,C
COCHRANE,C
CODEGUA,C
COELEMU,C
COIHAIQUE,C
COYHAIQUE,C
COIHUECO,C
COINCO,C
COLBÚN,C
COLCHANE,C
COLINA,C
COLLIPULLI,C
COLTAUCO,C
COMBARBALÁ,C
CONCEPCIÓN,C
CONCHALÍ,C
CONCÓN,C
CONSTITUCIÓN,C
CONTULMO,C
COPIAPÓ,C
COQUIMBO,C
CORONEL,C
CORRAL,C
CUNCO,C
CURACAUTÍN,C
CURACAVÍ,C
CURACO DE VÉLEZ,C
CURANILAHUE,C
CURARREHUE,C
CUREPTO,C
CURICÓ,C
DALCAHUE,C
DIEGO DE ALMAGRO,C
DOÑIHUE,C
EL BOSQUE,C
EL CARMEN,C
EL MONTE,C
EL QUISCO,C
EL TABO,C
EMPEDRADO,C
ERCILLA,C
ESTACIÓN CENTRAL,C
FLORIDA,C
FREIRE,C
FREIRINA,C
FRESIA,C
FRUTILLAR,C
FUTALEUFÚ,C
FUTRONO,C
GALVARINO,C
GENERAL LAGOS,C
GORBEA,C
GRANEROS,C
GUAITECAS,C
HIJUELAS,C
HUALAIHUÉ,C
HUALAÑÉ,C
HUALPÉN,C
HUALQUI,C
HUARA,C
HUASCO,C
HUECHURABA,C
ILLAPEL,C
INDEPENDENCIA,C
IQUIQUE,C
ISLA DE MAIPO,C
ISLA DE PASCUA,C
JUAN FERNÁNDEZ,C
LA CISTERNA,C
LA CRUZ,C
LA ESTRELLA,C
LA FLORIDA,C
LA GRANJA,C
LA HIGUERA,C
LA LIGUA,C
LA PINTANA,C
LA REINA,C
LA SERENA,C
LA UNIÓN,C
LAGO RANCO,C
LAGO VERDE,C
LAGUNA BLANCA,C
LAJA,C
LAMPA,C
LANCO,C
LAS CABRAS,C
LAS CONDES,C
LAUTARO,C
LEBU,C
LICANTÉN,C
LIMACHE,C
LINARES,C
LITUECHE,C
LLAILLAY,C
LLANQUIHUE,C
LO BARNECHEA,C
LO ESPEJO,C
LO PRADO,C
LOLOL,C
LONCOCHE,C
LONGAVÍ,C
LONQUIMAY,C
LOS ÁLAMOS,C
LOS ANDES,C
LOS ÁNGELES,C
LOS LAGOS,C
LOS MUERMOS,C
LOS SAUCES,C
LOS VILOS,C
LOTA,C
LUMACO,C
MACHALÍ,C
MACUL,C
MÁFIL,C
MAIPÚ,C
MALLOA,C
MARCHIHUE,C
MARÍA ELENA,C
MARÍA PINTO,C
MARIQUINA,C
MAULE,C
MAULLÍN,C
MEJILLONES,C
MELIPEUCO,C
MELIPILLA,C
MOLINA,C
MONTE PATRIA,C
MOSTAZAL,C
MULCHÉN,C
NACIMIENTO,C
NANCAGUA,C
NATALES,C
NAVIDAD,C
NEGRETE,C
NINHUE,C
NOGALES,C
NUEVA IMPERIAL,C
ÑIQUÉN,C
ÑUÑOA,C
O´HIGGINS,C
OLIVAR,C
OLLAGÜE,C
OLMUÉ,C
OSORNO,C
OVALLE,C
PADRE HURTADO,C
PADRE LAS CASAS,C
PAIGUANO,C
PAILLACO,C
PAINE,C
PALENA,C
PALMILLA,C
PANGUIPULLI,C
PANQUEHUE,C
PAPUDO,C
PAREDONES,C
PARRAL,C
PEDRO AGUIRRE CERDA,C
PELARCO,C
PELLUHUE,C
PEMUCO,C
PENCAHUE,C
PENCO,C
PEÑAFLOR,C
PEÑALOLÉN,C
PERALILLO,C
PERQUENCO,C
PETORCA,C
PEUMO,C
PICA,C
PICHIDEGUA,C
PICHILEMU,C
PINTO,C
PIRQUE,C
PITRUFQUÉN,C
PLACILLA,C
PORTEZUELO,C
PORVENIR,C
POZO ALMONTE,C
PRIMAVERA,C
PROVIDENCIA,C
PUCHUNCAVÍ,C
PUCÓN,C
PUDAHUEL,C
PUENTE ALTO,C
PUERTO MONTT,C
PUERTO OCTAY,C
PUERTO VARAS,C
PUMANQUE,C
PUNITAQUI,C
PUNTA ARENAS,C
PUQUELDÓN,C
PURÉN,C
PURRANQUE,C
